canonical_entity,canonical_entity_id,source_sheet,source_row,source_record_id,related_is_text,notification_title,title_vernacular
NOTIFICATION,NOTIF-00808,,76,60.,IS 1785,"पूर्व-तनावित कंक्रीट हेतु सादा हार्ड-ड्रॉन स्टील तार – भाग 1 : कोल्ड ड्रॉन, तनाव-मुक्त तार","10. इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) आदेश, 2020 S.O. 756(E), दिनांक 14-02-2020 इससे प्रतिस्थापित: इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) आदेश, 2020 S.O. 1673(E), दिनांक 27-05-2020 इससे प्रतिस्थापित: इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) आदेश, 2020 (S.O. 2379(E), दिनांक 17-07-2020) इस्पात उत्पाद आदेश के प्रवर्तन की तिथि में विस्तार, फ़ाइल संख्या S-20011/1/2020-TECH दिनांक 22.07.2020 विस्तार आदेश इससे प्रतिस्थापित: इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) आदेश, 2020 (S.O. 4082(E), दिनांक 12.11.2020) इससे प्रतिस्थापित: इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) आदेश, 2020 (S.O. संख्या 4637(E) 22/12/2020) भारतीय मानकों के लिए गुणवत्ता नियंत्रण आदेश के प्रवर्तन की तिथि में विस्तार आदेश (विशेष रूप से IS 3748, IS 7291, और IS 12146) कुछ भारतीय मानकों के लिए गुणवत्ता नियंत्रण आदेश के प्रवर्तन की तिथि में विस्तार आदेश (विशेष रूप से IS 4398 और IS 3195) कुछ भारतीय मानकों के लिए गुणवत्ता नियंत्रण आदेश के प्रवर्तन की तिथि में विस्तार आदेश (विशेष रूप से IS 6526, IS 4454 (भाग 4), IS 11946, IS 11947 और IS 12045) प्रवर्तन तिथि में विस्तार आदेश (विशेष रूप से IS 1110, IS 4409) प्रवर्तन तिथि में विस्तार आदेश (विशेष रूप से IS 4432, IS 5518, IS 12145, IS 13387, IS 4072 और IS 13352) प्रवर्तन तिथि में विस्तार आदेश (विशेष रूप से IS 7226, IS 14331) प्रवर्तन तिथि में विस्तार आदेश (विशेष रूप से IS 6529) प्रवर्तन तिथि में विस्तार आदेश (विशेष रूप से IS 1993, IS 12591) प्रवर्तन तिथि में विस्तार आदेश IS 3748, IS 7291 और IS 12146 के लिए गुणवत्ता नियंत्रण आदेश पर विस्तार IS 4454 (भाग 4): 2001, IS 11946: 1987 और IS 11947: 1987 के लिए गुणवत्ता नियंत्रण आदेश के प्रवर्तन तिथि में विस्तार आदेश प्रवर्तन तिथि में विस्तार आदेश (विशेष रूप से IS 1110: 1990 & IS 4409: 1973) प्रवर्तन तिथि में विस्तार आदेश (विशेष रूप से IS 14331: 1995) प्रवर्तन तिथि में विस्तार आदेश (विशेष रूप से IS 13387: 1992) प्रवर्तन तिथि में विस्तार आदेश (विशेष रूप से IS 1110: 1990 & IS 4409: 1973) प्रवर्तन तिथि में विस्तार आदेश (विशेष रूप से IS 1110: 1990 & IS 4409: 1973), दिनांक 01 नवंबर 2022 प्रवर्तन तिथि में विस्तार आदेश (विशेष रूप से IS 4409: 1973), दिनांक 06 फरवरी 2023 प्रवर्तन तिथि में विस्तार आदेश (विशेष रूप से IS 4409: 1973, दिनांक 25 जुलाई 2023) इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) आदेश, 2024 S.O. 574(E) दिनांक 5 फरवरी, 2024 प्रवर्तन तिथि में विस्तार आदेश (विशेष रूप से IS 4409: 2023, दिनांक 01 मई 2024) प्रवर्तन तिथि में विस्तार आदेश (विशेष रूप से IS 4409: 2023, दिनांक 01 अगस्त 2024) इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) आदेश, 2024 S.O. 3716(E), दिनांक 29 अगस्त 2024 इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) संशोधन आदेश, 2025 S.O. 5134(E) दिनांक 20 नवंबर, 2025"
NOTIFICATION,NOTIF-00809,,77,61.,IS 1785,पूर्व-तनावित कंक्रीट हेतु सादा हार्ड-ड्रॉन स्टील तार – भाग 2 : यथाकर्षित तार,
NOTIFICATION,NOTIF-00805,,78,62.,IS 6003:2010,पूर्व-तनावित कंक्रीट हेतु इंडेंटेड तार,
NOTIFICATION,NOTIF-00807,,79,63.,IS 6006:2014,पूर्व-तनावित कंक्रीट हेतु बिना कोटिंग का तनाव-मुक्त स्ट्रैंड,
NOTIFICATION,NOTIF-00891,,80,64.,IS 13620:1993,फ्यूजन बॉन्डेड एपॉक्सी लेपित सुदृढ़ीकरण छड़ें,
NOTIFICATION,NOTIF-00806,,81,65.,IS 14268:1995,पूर्व-तनावित कंक्रीट हेतु बिना कोटिंग का कम रिलैक्सेशन सात-सूत्रीय स्ट्रैंड,
NOTIFICATION,NOTIF-00688,,82,66.,IS 277:2003,जस्ती इस्पात शीट (सादी एवं तरंगित),
NOTIFICATION,NOTIF-00916,,83,67.,IS 2002:2009,बॉयलरों सहित मध्यम एवं उच्च तापमान सेवाओं हेतु दाब पात्रों के लिए इस्पात प्लेटें,
NOTIFICATION,NOTIF-00926,,84,68.,IS 2041:2009,मध्यम एवं निम्न तापमान पर प्रयुक्त दाब पात्रों हेतु इस्पात प्लेटें,
NOTIFICATION,NOTIF-01111,,85,69.,IS 2830:2012,"सामान्य संरचनात्मक प्रयोजनों हेतु पुनः रोलिंग के लिए कार्बन स्टील कास्ट बिलेट, ब्लूम एवं स्लैब",
