is_id,canonical_is_number,manufacturer_count,licence_count,source_file_id,source_file,source_sheet,source_row,record_disposition
STD-00747,STD-17261,12,12,F043,output__fmcs_is_coverage.csv,,162,CANONICAL
STD-00748,STD-17262,6,6,F043,output__fmcs_is_coverage.csv,,163,CANONICAL
STD-00749,STD-17263,3,3,F043,output__fmcs_is_coverage.csv,,164,CANONICAL
STD-00749,STD-17263,12,13,F043,output__fmcs_is_coverage.csv,,165,CANONICAL
STD-00750,STD-17264,1,1,F043,output__fmcs_is_coverage.csv,,166,CANONICAL
STD-00750,STD-17264,3,3,F043,output__fmcs_is_coverage.csv,,167,CANONICAL
STD-00751,STD-17265,4,4,F043,output__fmcs_is_coverage.csv,,168,CANONICAL
STD-00751,STD-17265,5,5,F043,output__fmcs_is_coverage.csv,,169,CANONICAL
STD-00752,STD-17266,6,6,F043,output__fmcs_is_coverage.csv,,170,CANONICAL
STD-00765,STD-17370,3,3,F043,output__fmcs_is_coverage.csv,,171,CANONICAL
STD-00765,STD-17370,3,3,F043,output__fmcs_is_coverage.csv,,172,CANONICAL
STD-00770,STD-17397,10,10,F043,output__fmcs_is_coverage.csv,,173,CANONICAL
STD-00771,STD-17397-P1,3,3,F043,output__fmcs_is_coverage.csv,,174,CANONICAL
STD-00774,STD-17404,8,10,F043,output__fmcs_is_coverage.csv,,175,CANONICAL
STD-00781,STD-17442,10,12,F043,output__fmcs_is_coverage.csv,,176,CANONICAL
STD-00787,STD-17508,1,1,F043,output__fmcs_is_coverage.csv,,177,CANONICAL
STD-00788,STD-17509,11,12,F043,output__fmcs_is_coverage.csv,,178,CANONICAL
STD-00793,STD-17526,2,2,F043,output__fmcs_is_coverage.csv,,179,CANONICAL
STD-00798,STD-17550-P1,9,9,F043,output__fmcs_is_coverage.csv,,180,CANONICAL
STD-00798,STD-17550-P1,4,4,F043,output__fmcs_is_coverage.csv,,181,CANONICAL
STD-00800,STD-17569,1,1,F043,output__fmcs_is_coverage.csv,,182,CANONICAL
STD-00802,STD-17570-P1,1,1,F043,output__fmcs_is_coverage.csv,,183,CANONICAL
STD-00809,STD-17633,1,1,F043,output__fmcs_is_coverage.csv,,184,CANONICAL
STD-00810,STD-17634,2,2,F043,output__fmcs_is_coverage.csv,,185,CANONICAL
STD-00811,STD-17635,1,1,F043,output__fmcs_is_coverage.csv,,186,CANONICAL
STD-00814,STD-17658,1,1,F043,output__fmcs_is_coverage.csv,,187,CANONICAL
STD-00814,STD-17658,41,47,F043,output__fmcs_is_coverage.csv,,188,CANONICAL
STD-00815,STD-17659,1,1,F043,output__fmcs_is_coverage.csv,,189,CANONICAL
STD-00819,STD-17706,1,1,F043,output__fmcs_is_coverage.csv,,190,CANONICAL
STD-00829,STD-17803,1,1,F043,output__fmcs_is_coverage.csv,,191,CANONICAL
STD-00833,STD-1786,26,27,F043,output__fmcs_is_coverage.csv,,192,CANONICAL
STD-00836,STD-17875,12,12,F043,output__fmcs_is_coverage.csv,,193,CANONICAL
STD-00837,STD-17876,13,13,F043,output__fmcs_is_coverage.csv,,194,CANONICAL
STD-00840,STD-17927-P1,6,7,F043,output__fmcs_is_coverage.csv,,195,CANONICAL
STD-00842,STD-17945,1,1,F043,output__fmcs_is_coverage.csv,,196,CANONICAL
STD-00844,STD-17954,3,3,F043,output__fmcs_is_coverage.csv,,197,CANONICAL
STD-00847,STD-17988,1,1,F043,output__fmcs_is_coverage.csv,,198,CANONICAL
STD-00863,STD-18297,12,12,F043,output__fmcs_is_coverage.csv,,199,CANONICAL
STD-00864,STD-18316,7,7,F043,output__fmcs_is_coverage.csv,,200,CANONICAL
STD-00871,STD-18384,2,2,F043,output__fmcs_is_coverage.csv,,201,CANONICAL
STD-00872,STD-18385,7,11,F043,output__fmcs_is_coverage.csv,,202,CANONICAL
STD-00875,STD-18471-P1,1,1,F043,output__fmcs_is_coverage.csv,,203,CANONICAL
STD-00876,STD-18471-P2,1,1,F043,output__fmcs_is_coverage.csv,,204,CANONICAL
STD-00874,STD-18471,8,8,F043,output__fmcs_is_coverage.csv,,205,CANONICAL
STD-00877,STD-18476,1,1,F043,output__fmcs_is_coverage.csv,,206,CANONICAL
STD-00880,STD-18480-P1,2,2,F043,output__fmcs_is_coverage.csv,,207,CANONICAL
STD-00882,STD-18507,2,2,F043,output__fmcs_is_coverage.csv,,208,CANONICAL
STD-00883,STD-18508,5,5,F043,output__fmcs_is_coverage.csv,,209,CANONICAL
STD-00885,STD-18513,5,9,F043,output__fmcs_is_coverage.csv,,210,CANONICAL
STD-00888,STD-18573,3,3,F043,output__fmcs_is_coverage.csv,,211,CANONICAL
STD-00891,STD-18663,4,4,F043,output__fmcs_is_coverage.csv,,212,CANONICAL
STD-00895,STD-1875,4,4,F043,output__fmcs_is_coverage.csv,,213,CANONICAL
STD-00899,STD-18809,1,1,F043,output__fmcs_is_coverage.csv,,214,CANONICAL
STD-00903,STD-1897,8,9,F043,output__fmcs_is_coverage.csv,,215,CANONICAL
STD-00905,STD-191,5,5,F043,output__fmcs_is_coverage.csv,,216,CANONICAL
