canonical_entity,canonical_entity_id,source_sheet,source_row,source_scheme_record_ids,source_scheme_ids,scheme_label,source_table_caption,source_row_label,raw_is_number_variants,canonical_is_number,display_is_number,standard_year,title,product_name,ministry,notification_number,mandatory_voluntary,certification_type,source_record_id,source_url,retrieved_at,scraper_engine,extraction_method,record_status,missing_reason
STANDARD,STD-01756,,26,SCHII-0025,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,25,IS/IEC 62368: Part 1: 2023,STD-IEC-62368-P1,STD-IEC-62368-P1,2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements",Point of Sale Terminals,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-01756,,27,SCHII-0026,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,26,IS/IEC 62368: Part 1: 2023,STD-IEC-62368-P1,STD-IEC-62368-P1,2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements",Copying Machines/Duplicators,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-01756,,28,SCHII-0027,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,27,IS/IEC 62368: Part 1: 2023,STD-IEC-62368-P1,STD-IEC-62368-P1,2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements",Smart Card Readers,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-01756,,29,SCHII-0028,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,28,IS/IEC 62368: Part 1: 2023,STD-IEC-62368-P1,STD-IEC-62368-P1,2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements",Mail Processing Machines/Postage Machines/Franking Machines,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-01756,,30,SCHII-0029,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,29,IS/IEC 62368: Part 1: 2023,STD-IEC-62368-P1,STD-IEC-62368-P1,2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements",Passport Reader,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-01756,,31,SCHII-0030,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,30,IS/IEC 62368: Part 1: 2023,STD-IEC-62368-P1,STD-IEC-62368-P1,2023,"Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements",Power Banks for use in portable applications,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-00644,,32,SCHII-0031,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,31,IS 16333 (Part-3),STD-16333-P3,STD-16333-P3,NULL,Mobile Phone Handsets Part 3 Indian Language Support for Mobile Phone Handsets - Specific Requirements,Mobile Phones,Ministry Of Electronics And Information Technology,"S.O. No. Nil dated 24th Oct 2016; dated of Implementation 1st July 2017; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O. 1246(E) dated 10 March, 2026",MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,SUCCESS,NULL
STANDARD,STD-00050,,33,SCHII-0032,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,32,IS 10322 (Part 5/Section 2): 2012,STD-10322-P5,STD-10322-P5,2012,Luminaires Part 5: Particular Requirements Section 2 Recessed Luminaires,Recessed LED Luminaries,Ministry Of Electronics And Information Technology,"S.O. 2742(E), dated 17th August 2017; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Essential Requirement(s) for CCTV as per Annexure S.O. 1652(E), dated 9th April 2024; Amendments S.O. 1246(E) dated 10 March, 2026",MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,SUCCESS,NULL
STANDARD,STD-00050,,34,SCHII-0033,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,33,IS 10322 (Part 5/Section 3): 2012,STD-10322-P5,STD-10322-P5,2012,Luminaires - Part 5: Particular Requirements Section 3 Luminaires for Road and Street Lighting,LED Luminaires for Road and Street lighting,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-00050,,35,SCHII-0034,scheme_ii,Scheme - II (Registration Scheme),List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology,34,IS 10322 (Part 5/Section 5): 2013,STD-10322-P5,STD-10322-P5,2013,Luminaires - Part 5: Particular Requirements Section 5 Flood Lights,LED Flood Lights,Ministry Of Electronics And Information Technology,NULL,MANDATORY,SCHEME_II_REGISTRATION,scheme_ii,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_JSON,PARTIAL,NOT_EXPOSED_BY_SOURCE
