relationship_id,qco_id,qco_number,product_id,product_name,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-QCO_PR-0000039,QCO-00034,Footwear made from Leather and other Materials (QCO),PROD-00238,Shoes (Part 2 - Specific Footwear Types),COVERED_BY,related_qco_text,related_qco_text,Footwear made from Leather and other Materials (QCO),,F011,BIS_Products_Details.xlsx,Products_Details,40,1.00,
REL-QCO_PR-0000040,QCO-00055,Personal Protective Equipment (Footwear) QCO,PROD-00138,Personal Protective Equipment - Safety Footwear (Part 2),COVERED_BY,related_qco_text,related_qco_text,Personal Protective Equipment (Footwear) QCO,,F011,BIS_Products_Details.xlsx,Products_Details,41,1.00,
REL-QCO_PR-0000041,QCO-00001,2 Gazette Documents listed (Click to download section),PROD-00313,Work Chairs - Specification,COVERED_BY,related_qco_text,related_qco_text,2 Gazette Documents listed (Click to download section),,F012,BIS_Products_Full_Information.xlsx,Products_Details,2,1.00,
REL-QCO_PR-0000042,QCO-00043,Furniture (Quality Control) Order,PROD-00107,General Purpose Chairs and Stools - Specification,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,3,1.00,
REL-QCO_PR-0000043,QCO-00044,Furniture (Quality Control) Order (2 Gazette Documents),PROD-00286,Tables and Desks - Specification,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order (2 Gazette Documents),,F012,BIS_Products_Full_Information.xlsx,Products_Details,4,1.00,
REL-QCO_PR-0000044,QCO-00043,Furniture (Quality Control) Order,PROD-00275,Storage Units - Specification,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,5,1.00,
REL-QCO_PR-0000045,QCO-00043,Furniture (Quality Control) Order,PROD-00052,Beds - Specification,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,6,1.00,
REL-QCO_PR-0000046,QCO-00043,Furniture (Quality Control) Order,PROD-00057,Bunk Beds and High Beds - Specification,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,7,1.00,
REL-QCO_PR-0000047,QCO-00015,Domestic Pressure Cooker (Quality Control) Order (Mandatory Certification),PROD-00084,Domestic Pressure Cooker - Specification (Seventh Revision),COVERED_BY,related_qco_text,related_qco_text,Domestic Pressure Cooker (Quality Control) Order (Mandatory Certification),,F012,BIS_Products_Full_Information.xlsx,Products_Details,8,1.00,
REL-QCO_PR-0000048,QCO-00008,Cement (Quality Control) Order,PROD-00277,Sulphate Resisting Portland Cement,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,9,1.00,
REL-QCO_PR-0000049,QCO-00008,Cement (Quality Control) Order,PROD-00123,Low Heat Portland Cement,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,10,1.00,
REL-QCO_PR-0000050,QCO-00008,Cement (Quality Control) Order,PROD-00152,Portland Pozzolana Cement - Specification - Part 1: Fly Ash Based,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,11,1.00,
REL-QCO_PR-0000051,QCO-00008,Cement (Quality Control) Order,PROD-00153,Portland Pozzolana Cement - Specification - Part 2: Calcined Clay Based,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,12,1.00,
REL-QCO_PR-0000052,QCO-00008,Cement (Quality Control) Order,PROD-00133,Ordinary Portland Cement - Specification,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,13,1.00,
REL-QCO_PR-0000053,QCO-00008,Cement (Quality Control) Order,PROD-00159,Portland Slag Cement - Specification,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,14,1.00,
REL-QCO_PR-0000054,QCO-00008,Cement (Quality Control) Order,PROD-00169,Rapid Hardening Portland Cement - Specification,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,15,1.00,
REL-QCO_PR-0000055,QCO-00008,Cement (Quality Control) Order,PROD-00306,White Portland Cement - Specification,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,16,1.00,
REL-QCO_PR-0000056,QCO-00008,Cement (Quality Control) Order,PROD-00112,Hydrophobic Portland Cement - Specification,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,17,1.00,
REL-QCO_PR-0000057,QCO-00008,Cement (Quality Control) Order,PROD-00067,Composite Cement - Specification,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,18,1.00,
REL-QCO_PR-0000058,QCO-00090,Toys (Quality Control) Order,PROD-00214,Safety of Toys - Part 1: Safety Aspects Related to Mechanical and Physical Properties,COVERED_BY,related_qco_text,related_qco_text,Toys (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,19,1.00,
REL-QCO_PR-0000059,QCO-00090,Toys (Quality Control) Order,PROD-00215,Safety of Toys (Part 2 - Flammability),COVERED_BY,related_qco_text,related_qco_text,Toys (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,20,1.00,
REL-QCO_PR-0000060,QCO-00090,Toys (Quality Control) Order,PROD-00216,Safety of Toys (Part 3 - Migration of Certain Elements),COVERED_BY,related_qco_text,related_qco_text,Toys (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,21,1.00,
REL-QCO_PR-0000061,QCO-00090,Toys (Quality Control) Order,PROD-00219,"Safety of Toys - Part 4: Swings, Slides and Similar Activity Toys for Domestic Use",COVERED_BY,related_qco_text,related_qco_text,Toys (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,22,1.00,
REL-QCO_PR-0000062,QCO-00090,Toys (Quality Control) Order,PROD-00203,Safety of Electric Toys,COVERED_BY,related_qco_text,related_qco_text,Toys (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,23,1.00,
REL-QCO_PR-0000063,QCO-00026,Flat Glass (Quality Control) Order,PROD-00103,Flat Transparent Sheet Glass - Specification,COVERED_BY,related_qco_text,related_qco_text,Flat Glass (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,24,1.00,
REL-QCO_PR-0000064,QCO-00078,Safety Glass (Quality Control) Order,PROD-00197,"Safety Glass - Specification - Part 1: Architectural, Building and General Purpose",COVERED_BY,related_qco_text,related_qco_text,Safety Glass (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,25,1.00,
REL-QCO_PR-0000065,QCO-00080,Safety Glass (Quality Control) Order / CMVR,PROD-00198,Safety Glass - Specification - Part 2: For Road Transport,COVERED_BY,related_qco_text,related_qco_text,Safety Glass (Quality Control) Order / CMVR,,F012,BIS_Products_Full_Information.xlsx,Products_Details,26,1.00,
REL-QCO_PR-0000066,QCO-00011,Domestic / Industrial Gas Equipment Orders,PROD-00186,Rubber Hoses for Liquefied Petroleum Gas (LPG) - Specification - Part 1: For Commercial and Industrial Applications,COVERED_BY,related_qco_text,related_qco_text,Domestic / Industrial Gas Equipment Orders,,F012,BIS_Products_Full_Information.xlsx,Products_Details,27,1.00,
REL-QCO_PR-0000067,QCO-00048,LPG Hoses (Quality Control) Order,PROD-00187,Rubber Hoses for Liquefied Petroleum Gas (LPG) - Specification - Part 2: For Domestic Applications,COVERED_BY,related_qco_text,related_qco_text,LPG Hoses (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,28,1.00,
REL-QCO_PR-0000068,QCO-00003,Aluminium and Aluminium Alloy Products (Quality Control) Order,PROD-00045,Aluminium and Aluminium Alloy Corrugated Sheets - Specification,COVERED_BY,related_qco_text,related_qco_text,Aluminium and Aluminium Alloy Products (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,29,1.00,
